"TITRE";"ID";"CODE";"NOM_SOURCE";"AUTEUR";"CRITIQUE";"NOTE"
"ARGO";"507";"20434280";"Les Fiches du Cinéma";"Pierre-Simon Gutman";"Ben Affleck livre moins un pamphlet politique qu'une variation virtuose et efficace autour du thriller d'espionnage.";"4"
"ARGO";"508";"20434275";"Marianne";"Danièle Heymann";"Drôlement, diablement efficace!";"4"
"ARGO";"509";"20434443";"Le Nouvel Observateur";"Pascal Mérigeau";"Remarquer que de toute évidence Ben Affleck s'est moins intéressé aux scènes d'action, un peu expédiées, qu'aux relations entre les personnages et à la mise en lumière de certains aspects historicopolitiques suffit à exprimer à quel point il peut faire à Hollywood figure de sympathique exception.";"4"
"ARGO";"510";"20434219";"Positif";"Christian Viviani";"Cette troisième réalisation confirme un réel talent de réalisateur et une ambition louable. (...) Son visage lisse mangé par une barbe épaisse, Affleck confère à son personnage mystère et mélancolie.";"4"
"ARGO";"511";"20434381";"TF1 News";"Nicolas Schiavi";"Avec son tempo efficace et son humour acéré, le film réussit tout ce qu'il entreprend.";"5"
"ARIZONA DREAM";"512";"40001636";"Télérama";"Vincent Remy";"A vouloir échapper aux contraintes de l'espace et du temps, ces cinéastes-là, quelle que soit l'intensité de leur désir, finissent un jour ou l'autre par se brûler les ailes. 06/01/1993";"3"
"ARIZONA DREAM";"513";"40001635";"Positif";"Olivier de Bruyn";"(…) rarement un film laisse, comme Arizona Dream, une telle sensation de puissance créatrice. N°383, janvier 1993";"5"
"ARIZONA DREAM";"514";"40001632";"Cahiers du Cinéma";"Joël Marigny";"Tout ce qui faisait la force du Temps des Gitans (…) se trouve ici rétréci, sans élan, d'une pesanteur radicale. N°463 - janvier 1993";"3"
"ARIZONA DREAM";"515";"40001634";"Le Monde";"J-M F.";"(…) Kusturica s'installe sans effort apparent en haut de l'arbre généalogique qui part de Chaplin et Keaton, passe par Lubitsch (…) 06/01/1993";"5"
"ARIZONA DREAM";"516";"40001633";"La Croix";"Jean-Luc Macia";"Voilà un poète qui utilise le langage du cinéma - et avec quelle maestria !- pour exprimer ses obsessions et sa vision de l'homme (…) 07/01/1993";"5"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"517";"19938452";"Le Point";"François-Guillaume Lorrain";"Voir la critique sur lepoint.fr";"5"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"518";"19918923";"Studio Ciné Live";"Clément Sautet";"Voir le site StudioCineLive.";"3"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"519";"19939794";"Le Figaroscope";"Emmanuèle Frois";"La nouvelle production des studios Ghibli est une petite merveille de beauté et de poésie. Une fable dans l'air du temps qui parle avec intelligence de la différence et des démunis.";"5"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"520";"19939906";"Libération";"La Rédaction";"Techniquement très beau, manque singulièrement de nerf, de souffle.";"3"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"521";"19933471";"Cahiers du Cinéma";"Sophie Charlin ";"C'est avec la rencontre d'Arrietty et Shô que le film prend une dimension inespérée. Il est dommage ensuite qu'Arrietty ratiboise frileusement ses ambitions.";"3"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"522";"19939935";"Télérama";"Cécile Mury";"(...) le conte ne reste pas entre quatre murs. Il s'ouvre tout grand sur un jardin bruissant, une nature radieuse, luxuriante, à la beauté presque sacrée, pinceaux et pastels, dieu Oxygène et fée Chlorophylle.";"4"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"523";"19939883";"Les Inrockuptibles";"Vincent Ostria";"""Arrietty"" est peut-être trop respectueux de la ligne claire façon Ghibli pour qu'on puisse crier au nouveau génie de l'anime. Mais on ne chipotera pas devant une splendeur aussi sereine qu'harmonieuse.";"4"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"524";"19939853";"Critikat.com";"Vincent Avenel ";"Oeuvre d'un cinéaste qui sait doser son hommage, l'incorporer à sa narration, ""Arrietty"" est un magnifique clin d'oeil au passé du studio Ghibli, et la preuve éclatante que le futur de celui-ci s'annonce tout aussi enthousiasmant - sinon plus ? - que son passé.";"5"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"525";"19938281";"Le Journal du Dimanche";"Stéphanie Belpêche";"Une fois encore, on est frappé par la délicatesse de l'animation du studio Ghibli, par la sensibilité du scénario de Miyazaki (...).";"4"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"526";"19934385";"Positif";"Hubert Niogret";"Le plaidoyer généreux de Miyazaki en faveur des espèces en voie de disparition sur un planète surpeuplée préserve la part du rêve (...).";"4"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"527";"19938315";"L'Ecran Fantastique";"Yann Lebecque";"(...) Arrietty est un joli conte parfaitement maîtrisé et balisé, qui plaira au plus grand nombre, à défaut de pleinement satisfaire les fans de Miyazaki (...).";"3"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"528";"19939836";"Le Parisien";"Marie Sauvion";"Animateur chevronné du Studio Ghibli, Hiromasa Yonebayashi signe un premier film enchanteur où chaque sortie d'Arrietty, filmée à son échelle, vire à l'aventure extraordinaire. Du jardin à la maison de poupées, les images sont d'une telle beauté que l'on voudrait y vivre!";"5"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"529";"19939807";"20 Minutes";"Caroline Vié";"Avec son graphisme subtil et sa poésie constante, ce dessin animé apporte un souffle de fraîcheur bienvenu au coeur d'une production où relief et images de synthèse tiennent le haut de l'affiche.";"5"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"530";"19941058";"Filmsactu";"Elodie Leroy";"À force d'imposer ses stéréotypes à ses nouveaux talents, quitte à servir du réchauffé, le studio Ghibli est peut-être en train de montrer ses limites. Un film réservé au jeune public.";"3"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"531";"19939980";"Metro";"Jennifer Lesieur";"Avec ses jardins luxuriants, bruissant d'insectes, les animateurs ont signé l'un de leurs plus beaux films. L'histoire est mignonne, si l'on n'y cherche pas un second degré.";"4"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"532";"19939997";"L'Express";"Julien Welter";"Voir la critique sur l'Express.fr";"2"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"533";"19917126";"Première";"Gérard Delorme";"""Arrietty"" contient assez d'éléments séduisants (fluidité de la mise en scène, décors somptueux) pour satisfaire non seulement le public jeune (...) mais aussi les amateurs d'animation en général.";"3"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"534";"19941780";"L'Humanité";"Vincent Ostria";"Personnages attachants, notamment les deux adolescents aux tailles incompatibles, et décor campagnard éblouissant.";"4"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"535";"19939796";"Ouest France";"La rédaction";"Dans la déclinaison des couleurs comme dans le mouvement de l'animation, on retrouve un style propre au studio, une marque de fabrique qui brille une fois encore à l'écran.";"4"
"ARRIETTY, LE PETIT MONDE DES CHAPARDEURS";"536";"19963134";"Mad Movies";"Alexandre Poncet";"Visuellement, c'est prodigieux ; sur le fond, c'est une toute autre histoire...";"2"
